oa_code,1,2,3,4,5,6,7,8
E00056922,0,0,0,0,0,124,0,0
E00056923,0,0,0,0,0,127,0,0
E00056924,0,0,0,0,0,0,0,128
E00056925,0,0,0,0,0,0,0,123
E00056926,0,0,0,0,0,0,0,118
E00056927,0,0,0,0,0,162,0,0
E00056928,0,0,0,0,0,122,0,0
E00056929,0,0,0,0,0,135,0,0
E00056930,0,0,0,0,0,0,0,123
E00056931,0,0,0,0,0,122,0,0
E00056932,0,0,0,0,0,121,0,0
E00056933,0,0,0,0,125,0,0,0
E00056934,0,0,0,0,112,0,0,0
E00056935,0,0,0,0,101,0,0,0
E00056936,0,0,0,0,0,119,0,0
E00056937,0,0,0,0,0,0,82,0
E00056938,0,0,0,0,0,0,0,126
E00056939,0,0,0,0,0,143,0,0
E00056940,0,0,0,0,125,0,0,0
E00056941,0,0,0,0,0,0,0,156
E00056942,0,0,0,0,0,136,0,0
E00056943,0,0,0,0,0,133,0,0
E00056944,121,0,0,0,0,0,0,0
E00056945,0,0,0,0,0,0,0,112
E00056946,147,0,0,0,0,0,0,0
E00056947,0,0,0,0,0,133,0,0
E00056948,0,0,0,0,0,129,0,0
E00056949,0,0,0,0,95,0,0,0
E00056950,0,0,0,0,0,125,0,0
E00056951,0,0,0,0,0,129,0,0
E00056952,0,0,0,0,0,128,0,0
E00056953,0,0,0,0,0,125,0,0
E00056954,123,0,0,0,0,0,0,0
E00056955,0,0,0,0,0,126,0,0
E00056956,125,0,0,0,0,0,0,0
E00056957,0,0,0,0,0,122,0,0
E00056958,0,0,0,0,0,0,0,142
E00056959,78,0,0,0,0,0,0,0
E00056960,175,0,0,0,0,0,0,0
E00056961,135,0,0,0,0,0,0,0
E00056962,0,0,0,0,0,0,0,145
E00056963,0,0,0,0,181,0,0,0
E00056964,0,0,0,0,0,0,0,132
E00056965,0,0,0,0,0,138,0,0
E00056966,0,0,0,0,0,0,0,140
E00056967,0,0,0,0,0,0,0,84
E00056968,0,0,0,0,0,147,0,0
E00056969,102,0,0,0,0,0,0,0
E00056970,0,0,0,0,0,126,0,0
